Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"C Lopezosa, L Codina","ChatGPT y software CAQDAS para el anÃ¡lisis cualitativo de entrevistas: pasos para combinar la inteligencia artificial de OpenAI con ATLAS. ti, Nvivo y MAXQDA",2023,"","repositori.upf.edu","https://repositori.upf.edu/bitstream/handle/10230/55477/Codina_dig_chat.pdf?sequence=1&isAllowed=y","",8,"2023-03-15 07:08:14","BOOK","","","",,,,,2,2.00,1,2,1,"â€¦ Specifically, we show how to combine ChatGPT and â€¦ Thirdly, the ChatGPT artificial intelligence is addressed as a â€¦ step by step, how to combine ChatGPT with ATLAS.ti, NVIVO â€¦","",""
2,"E Kasneci, K SeÃŸler, S KÃ¼chemann, M Bannert, ...","ChatGPT for good? On opportunities and challenges of large language models for education",2023,"","edarxiv.org","https://edarxiv.org/5er8f/download?format=pdf","",63,"2023-03-15 07:08:14","BOOK","","","",,,,,2,2.00,0,5,1,"Large language models represent a significant advancement in the field of AI. The underlying technology is key to further innovations and, despite critical views and even bans within â€¦","",""
0,"P M Newton","ChatGPT performance on MCQ-based exams",2023,"","edarxiv.org","https://edarxiv.org/sytu3/download?format=pdf","",75,"2023-03-15 07:08:14","BOOK","","","",,,,,0,0.00,0,1,1,"â€¦ by media reports that ChatGPT can seemingly pass â€¦ ChatGPT on MCQ-based exams, and these are reviewed here. Although ChatGPT performs better than random guessing, ChatGPT â€¦","",""
0,"S Biswas","Prospective Role of Chat GPT in the Military: According to ChatGPT",2023,"","europepmc.org","https://europepmc.org/article/ppr/ppr621826","",82,"2023-03-15 07:08:14","BOOK","","","",,,,,0,0.00,0,1,1,"â€¦ ChatGPT, a large language model developed by OpenAI, â€¦ chatGPT itself and the actual possibilities currently are limited. This article explores mostly the future applications of chatGPT â€¦","",""
1,"F J GarcÃ­a-PeÃ±alvo","The perception of Artificial Intelligence in educational contexts after the launch of ChatGPT: Disruption or Panic?",2023,"","repositorio.grial.eu","https://repositorio.grial.eu/bitstream/grial/2838/1/01.pdf","",83,"2023-03-15 07:08:14","BOOK","","","",,,,,1,1.00,1,1,1,"â€¦ Indeed, it is ChatGPT. Although artificial intelligence had already been in the news and often masked under various other meanings, the ChatGPT phenomenon has once again brought â€¦","",""
0,"B Mahjour, J Hoffstadt, T Cernak","Designing Chemical Reaction Arrays using phactor and ChatGPT",2023,"","chemrxiv.org","https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/63fd0c5d937392db3d25b507/original/designing-chemical-reaction-arrays-using-phactor-and-chat-gpt.pdf","",107,"2023-03-15 07:08:14","BOOK","","","",,,,,0,0.00,0,3,1,"â€¦ Herein we demonstrate how the general-purpose language model ChatGPT can be utilized to â€¦ We showcase several case studies of using ChatGPT to aid in designing reaction arrays. â€¦","",""
1,"Y Zhu, D Han, S Chen, F Zeng, C Wang","How Can ChatGPT Benefit Pharmacy: A Case Report on Review Writing",2023,"","preprints.org","https://www.preprints.org/manuscript/202302.0324/download/final_file","",113,"2023-03-15 07:08:14","BOOK","","","",,,,,1,1.00,0,5,1,"â€¦ ChatGPT and try to instruct it to generate a mini review on the topic of â€œlipid-based drug delivery systemsâ€ by conversation. Our results showed that ChatGPT â€¦ that ChatGPT can only give â€¦","",""
10,"D R E Cotton, P A Cotton, J R Shipway","Chatting and Cheating. Ensuring academic integrity in the era of ChatGPT",2023,"","edarxiv.org","https://edarxiv.org/mrz8h/download?format=pdf","",115,"2023-03-15 07:08:14","BOOK","","","",,,,,10,10.00,3,3,1,"â€¦ While ChatGPT has the potential to offer many benefits for assessment in higher education, there are a few key challenges that ChatGPT, and other artificial intelligence language â€¦","",""
1,"Q Zhong, X Tan, R Du, J Liu, L Liao, C Wang, R Sun, ...","Is ChatGPT a Reliable Source for Writing Review Articles in Catalysis Research? A Case Study on CO2 Hydrogenation to Higher Alcohols",2023,"","preprints.org","https://www.preprints.org/manuscript/202302.0292/download/final_file","",117,"2023-03-15 07:08:14","BOOK","","","",,,,,1,1.00,0,8,1,"â€¦ The application of ChatGPT in catalysis research is an area deserving of further inâ€¦ the reliability of ChatGPT in catalysis research by analyzing a review paper generated by ChatGPT on â€¦","",""
1,"B Marchandot, K Matsushita, A Carmona, ...","ChatGPT: The Next Frontier in Academic Writing for Cardiologists or a Pandora's Box of Ethical Dilemmas",2023,"â€¦ Heart Journal Open","academic.oup.com","https://academic.oup.com/ehjopen/advance-article-pdf/doi/10.1093/ehjopen/oead007/49170798/oead007.pdf","",86,"2023-03-15 07:08:14","CITATION","10.1093/ehjopen/oead007/7035425","","",,,,,1,1.00,0,4,1,"The authors declare that there is no conflict of interest regarding the publication of this article. Prof 19 Olivier Morel (OM) received institutional research grants from Fondation Coeur et â€¦","",""
9,"C Stokel-Walker, R Van Noorden","What ChatGPT and generative AI mean for science",2023,"Nature","ideas.repec.org","https://ideas.repec.org/a/nat/nature/v614y2023i7947d10.1038_d41586-023-00340-6.html","",100,"2023-03-15 07:08:14","CITATION","","","",,,,,9,9.00,5,2,1,"What ChatGPT and generative AI mean for science â€¦ What ChatGPT and generative AI mean for science â€¦ What ChatGPT and generative AI mean for science,"" Nature, Nature, vol â€¦","",""
